game,puzzleID,time,percentile
1,8863,2:04,62.4
2,16024,1:18,64.5
3*,3218,0:46,75.3
4,3040,0:48,87.4
5,5938,0:31,94.5
6,16035,1:04,79.3
7,15809,1:21,52.5
8*,15310,0:56,78.3
9,15922,0:45,90.6
10,8783,0:47,89.1
11,15445,0:58,69.5
12,3459,0:54,78.1
13*,9179,0:50,82.8
14,9831,1:04,82.1
15,5460,1:10,78
16,3081,0:53,86.9
17,2477,0:51,92.2
18,2281,1:02,82
19,15638,1:03,72.4
20,17448,1:00,82.5
21,17525,1:02,79
22,5489,0:54,88.6
23,17367,0:55,84.9
24,5713,0:58,83.2
25,5505,1:06,78.7
26,2570,0:37,91.5
27,14831,1:11,68.4
28*,2539,0:49,90.1
29,14831,1:02,76.6
30,9326,1:34,64.9
31*,15198,1:34,57.1
32**,15627,1:07,74.6
33,3105,0:56,90.9
34,15849,1:05,73.9
35,3068,0:41,89.4
36,9034,1:08,80
37,17613,1:07,77.7
38,6198,0:48,81.3
39,3444,2:05,74.5
40,5432,0:57,70.5
41,2402,0:35,94.4
42,9328,1:39,57.6
43,9636,2:44,35.3
44,15725,1:09,74.2
45*,9837,1:01,79.2
46*,2930,1:42,47
47*,3083,1:37,82.1
48,15895,1:07,84.5
49*,14873,1:11,76.8
50,10121,0:34,95.4
51,15880,0:34,96.8
52,9983,0:47,94.2
53*,2331,1:06,72.3
54,3160,0:38,90.9
55,5350,1:02,89.9
56*,2875,1:06,72.2
57*,9847,0:52,73.7
58*,15654,0:56,83.1
59,2356,1:26,76
60*,9748,1:23,81.5
61,9272,0:32,93.1
62,3363,0:50,82.8
63,6297,0:51,81.5
64*,3217,1:04,58.4
65,3438,0:59,75.6
66,3441,1:44,52.4
67,15489,0:56,86.9
68,6363,1:09,68.1
69,3145,1:11,78.3
70,9999,0:44,90.2
71,6452,1:23,71.9
72,9983,1:35,53.4
73,2393,1:34,66.1
74,9927,0:44,83.9
75,9530,1:18,59.9
76*,9027,0:58,84.1
77,9672,0:40,92.8
78,5806,0:42,91.5
79,2459,1:07,78.3
80,6451,0:55,81.3
81,9442,1:25,47
82*,3226,1:17,58.1
83,2180,1:47,63.1
84,5366,1:35,41.8
85,5319,0:48,73.1
86,3183,0:37,92.2
87,5569,0:50,94.1
88,8836,0:40,94.4
89,10145,1:07,84.4
90,3021,0:53,83.4
91,9839,0:36,89.8
92,9800,0:54,78
93,9693,0:46,88.1
94,15319,0:51,89.5
95,17509,0:38,94.9
96,2351,0:40,88
97,17512,1:03,60.8
98,14971,1:23,45
99,15718,1:17,54.8
100,2833,1:06,67.2
101,15425,0:57,77.2
102,2685,1:11,93.2
103,6594,0:48,91.6
104,3335,0:39,86.6
105,14862,0:30,92.8
106,9793,0:29,97
107,17506,1:23,58
108,15770,1:19,56
109,17532,0:45,69.7
110,2687,2:17,42.1
111,6526,0:38,83
112,3076,0:50,88.6
113*,15988,1:40,69.7
114,2522,1:02,89.4
115,9868,0:49,93.2
116,5892,0:32,95.7
117,6000,0:44,86.1
118,2418,1:05,71
119,10066,0:46,80.7
120,6106,0:42,89.8
121**,3190,0:47,84.9
122*,9376,0:54,58
123,5556,0:42,98.4
124*,9507,0:42,86.3
125,2318,0:45,90.8
126,6404,0:40,88.7
127,5711,1:13,60.4
128*,2626,0:52,85.7
129,2725,0:58,75.8
130,5954,1:03,88.9
131*,8835,1:03,71.1
132,15175,1:25,50.4
133,2214,0:54,74.9
134,5612,0:45,86.2
135,6214,0:32,87.6
136,5398,1:25,46.3
137,15956,1:17,52.8
138,9013,0:47,91.3
139,3318,2:10,70.1
140,2899,0:54,77.1
141,9973,0:47,87
142,9857,1:12,48
143,5900,1:22,67.6
144,5693,1:25,65.8
145*,2808,2:16,32.8
146*,9684,0:59,62.5
147,2478,1:17,59.2
148,15646,1:29,51.6
149,5540,0:59,77.2
150,14940,1:06,60.1
151,14849,0:41,85
152,15133,1:00,77.2
153,9176,1:23,61.5
154,9542,2:02,72.8
155,9018,0:48,84.1
156,15844,2:53,48.4
157,2099,0:48,88.8
158,5385,1:59,53.9
159,2536,0:47,87.8
160,2893,0:40,88.6
161,3328,1:17,57.5
162,15537,0:54,90.8
163,9042,0:43,80.7
164,3129,1:00,79.5
165,10118,1:02,72.2
166,9491,1:43,35.6
167,17539,0:40,97.4
168*,5989,1:09,45.7
169*,6212,0:41,78
170*,5385,1:08,90.9
171,15421,0:57,85.3
172*,9260,1:05,64.7
173,5352,1:18,73.2
174,9118,1:08,80.9
175,6649,0:34,90.2
176,3290,1:27,84.8
177,9969,1:11,77.3
178,5556,1:33,70
179*,3275,1:21,70.3
180,9865,0:54,83
181,14755,0:47,86.1
182*,6650,1:24,59.1
183,2782,1:32,38.6
184,9412,0:44,90.5
185,9244,1:02,87.6
186,5884,1:02,82.1
187,6092,0:53,81.3
188,6477,0:47,87.6
189,5998,0:37,90.9
190*,9693,1:38,40.3
191,15089,1:03,84.5
192,9902,0:46,87.8
193,9855,0:48,80.2
194,9653,1:19,69.2
195,2625,0:57,71.8
196,5857,1:14,71.3
197,3005,1:17,75.1
198,17370,0:49,92.3
199,15934,0:53,86.8
200,14950,0:57,72.1
